"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"Dohko: an autonomic system for provision, configuration, and management of inter-cloud environments based on a software product line engineering method.","2017","Cluster Computing","Clust. Comput.","Alessandro Ferreira Leite;Vander Alves;Genaína Nunes Rodrigues;Claude Tadonki;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","1386-7857","A2"
"Multiple biological sequence alignment in heterogeneous multicore clusters with user-selectable task allocation policies.","2013","The Journal of Supercomputing","J. Supercomput.","Emerson de Araujo Macedo;Alba Cristina Magalhaes Alves de Melo;Gerson Henrique Pfitscher;Azzedine Boukerche","0920-8542","A2"
"A Novel Statistical and Neural Network Combined Approach for the Cloud Spot Market.","2023","IEEE Transactions on Cloud Computing","IEEE Trans. Cloud Comput.","Gustavo Portella;Eduardo Yoshio Nakano;Genaína Nunes Rodrigues;Azzedine Boukerche;Alba C. M. A. Melo","2168-7161","A1"
"Building robust pathology image analyses with uncertainty quantification.","2021","Computer Methods and Programs in Biomedicine","Comput. Methods Programs Biomed.","Jeremias M. Gomes;Jun Kong;Tahsin M. Kurç;Alba C. M. A. Melo;Renato Ferreira 0001;Joel H. Saltz;George Teodoro","0169-2607","A1"
"A CPU-FPGA heterogeneous approach for biological sequence comparison using high-level synthesis.","2021","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Carlos Antônio Campos Jorge;Alexandre Solon Nery;Alba C. M. A. Melo;Alfredo Goldman","1096-9128","A3"
"Using GPU to accelerate the pairwise structural RNA alignment with base pair probabilities.","2020","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Daniel Sundfeld;George Teodoro;Jakob Hull Havgaard;Jan Gorodkin;Alba C. M. A. Melo","1096-9128","A3"
"Statistical analysis of Amazon EC2 cloud pricing models.","2019","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Gustavo Portella;Genaína Nunes Rodrigues;Eduardo Yoshio Nakano;Alba C. M. A. Melo","1096-9128","A3"
"Multi-objective Parameter Auto-tuning for Tissue Image Segmentation Workflows.","2019","Journal of Imaging Informatics in Medicine","J. Digit. Imaging","Luis F. R. Taveira;Tahsin M. Kurç;Alba C. M. A. Melo;Jun Kong;Erich Bremer;Joel H. Saltz;George Teodoro","N/A","N/A"
"Trends on heterogeneous and innovative hardware and software systems.","2019","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Alba de Melo;Jesús Carretero 0001;Per Stenström;Sanjay Ranka;Eduard Ayguadé","1096-0848","A2"
"Cooperative and out-of-core execution of the irregular wavefront propagation pattern on hybrid machines with Intel® Xeon Phi™.","2018","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Jeremias M. Gomes;Alba Cristina Magalhaes Alves de Melo;Jun Kong;Tahsin M. Kurç;Joel H. Saltz;George Teodoro","1096-9128","A3"
