Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"CUDAlign 4.0: Incremental Speculative Traceback for Exact Chromosome-Wide Alignment in GPU Clusters.","2016","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Journal","Edans Flavius de Oliveira Sandes;Guillermo Miranda;Xavier Martorell;Eduard Ayguadé;George Teodoro;Alba Cristina Magalhaes Alves de Melo","1558-2183","A1"
"An agent-based solution for dynamic multi-node wavefront balancing in biological sequence comparison.","2014","Expert Systems with Applications","Expert Syst. Appl.","Journal","Edans Flavius de Oliveira Sandes;Célia Ghedini Ralha;Alba Cristina Magalhaes Alves de Melo","0957-4174","A1"
"Querying dynamic communities in online social networks.","2014","Frontiers of Information Technology &#38; Electronic Engineering","J. Zhejiang Univ. Sci. C","Journal","Li Weigang 0001;Edans F. de O. Sandes;Jianya Zheng;Alba Cristina Magalhaes Alves de Melo;Lorna Uden","2095-9230","A4"
"CUDAlign 3.0: Parallel Biological Sequence Comparison in Large GPU Clusters.","2014","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)","CCGRID","Conference","Edans F. de O. Sandes;Guillermo Miranda;Alba Cristina Magalhaes Alves de Melo;Xavier Martorell;Eduard Ayguadé","-","A2"
"Fine-grain parallel megabase sequence comparison with multiple heterogeneous GPUs.","2014","ACM SIGPLAN Symposium on Principles &#38; Practice of Parallel Programming (PPoPP)","PPoPP","Conference","Edans F. de O. Sandes;Guillermo Miranda;Alba Cristina Magalhaes Alves de Melo;Xavier Martorell;Eduard Ayguadé","-","A2"
"Retrieving Smith-Waterman Alignments with Optimizations for Megabase Biological Sequences Using GPU.","2013","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Journal","Edans Flavius de Oliveira Sandes;Alba Cristina Magalhaes Alves de Melo","1558-2183","A1"
"Topic 11: Multicore and Manycore Programming - (Introduction).","2013","European Conference on Parallel Processing (Euro-Par)","Euro-Par","Conference","Luiz De Rose;Jan Treibig;William Jalby;Alba Cristina Magalhaes Alves de Melo;David Abramson 0001;Alastair F. Donaldson;Tomàs Margalef","-","N/A"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Journal","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Adaptive patch grid strategy for parallel protein folding using atomic burials with NAMD.","2024","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Journal","Emerson de Araujo Macedo;Alba C. M. A. Melo","1096-0848","A2"
"Efficient microscopy image analysis on CPU-GPU systems with cost-aware irregular data partitioning.","2022","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Journal","Willian Barreiros Jr.;Alba C. M. A. Melo;Jun Kong;Renato Ferreira 0001;Tahsin M. Kurç;Joel H. Saltz;George Teodoro","1096-0848","A2"
"Optimizing parameter sensitivity analysis of large-scale microscopy image analysis workflows with multilevel computation reuse.","2020","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Willian Barreiros Jr.;Jeremias Moreira;Tahsin M. Kurç;Jun Kong;Alba C. M. A. Melo;Joel H. Saltz;George Teodoro","1096-9128","A3"
"Sensitivity analysis in digital pathology: Handling large number of parameters with compute expensive workflows.","2019","Computers in Biology and Medicine","Comput. Biol. Medicine","Journal","Jeremias M. Gomes;Willian Barreiros Jr.;Tahsin M. Kurç;Alba C. M. A. Melo;Jun Kong;Joel H. Saltz;George Teodoro","0010-4825","A2"
"Multiagent system for dynamic resource provisioning in cloud computing platforms.","2019","Future Generation Computer Systems","Future Gener. Comput. Syst.","Journal","Célia Ghedini Ralha;Aldo H. D. Mendes;Luiz A. Laranjeira;Aletéia P. F. Araújo;Alba C. M. A. Melo","0167-739X","A1"
"Run-time Parameter Sensitivity Analysis Optimizations.","2019","Computing Research Repository (CoRR)","CoRR","Journal","Eduardo Scartezini;Willian Barreiros Jr.;Tahsin M. Kurç;Jun Kong;Alba C. M. A. Melo;Joel H. Saltz;George Teodoro","-","N/A"
