Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Do you see what happens around you? Men's Perceptions of Gender Inequality in Software Engineering.","2023","Brazilian Symposium on Software Engineering (SBES)","SBES","Conference","Edna Dias Canedo;Larissa Soares 0001;Geovana Ramos Sousa Silva;Verônica Souza dos Santos;Fabiana Freitas Mendes","-","A3"
"On the Experiences of Practitioners with Requirements Elicitation Techniques.","2023","Brazilian Symposium on Software Engineering (SBES)","SBES","Conference","Rodrigo Mesquita;Geovana R. S. Silva;Edna Dias Canedo","-","A3"
"Measurement of User's Satisfaction of Digital Products through Emotion Recognition.","2023","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Ricardo Cordeiro Galvão SantAna van Erven;Edna Dias Canedo","-","A3"
"Scrum in Practice: City Reconstruction as a Pedagogical Game Challenge.","2023","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Eloisa Toffano Seidel Masson;Angélica Toffano Seidel Calazans;Ian Nery Bandeira;Geovana Ramos Sousa Silva;Edna Dias Canedo","-","A3"
"Unveiling Quality in Chatbot Conversations: Quantitative Analysis of Chatbot Requirements.","2023","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Geovana Ramos Sousa Silva;Edna Dias Canedo","-","A3"
"Tuhm: A Tool for Supporting Usability Tests on Mobile Applications.","2023","Brazilian Symposium on Information Systems (SBSI)","SBSI","Conference","Luan Pignata Caldas;Geovana Ramos Sousa Silva;Edna Dias Canedo","-","B1"
"8th Brazilian Symposium on Systematic and Automated Software Testing, SAST 2023, Campo Grande, MS, Brazil, September 25-29, 2023","2023","Brazilian Symposium on Systematic and Automated Software Testing (SAST)","SAST","Conference","Awdren L. Fontão;Débora M. B. Paiva;Hudson Borges;Maria Istela Cagnin;Patrícia Gomes Fernandes;Vanessa Borges;Silvana M. Melo;Vinicius H. S. Durelli;Edna Dias Canedo","-","B1"
"Proceedings of the XXII Brazilian Symposium on Software Quality, SBQS 2023, Brasilia, Brazil, November 7-10, 2023","2023","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Edna Dias Canedo;Daniel de Paula Porto;Fábio Lúcio Lopes de Mendonça;Rafael Timóteo de Sousa Júnior;Monalessa Perini Barcellos;Ismayle de Sousa Santos;Sheila S. Reinehr;Sérgio Soares;Uirá Kulesza;Érica Ferreira de Souza;Adriano Albuquerque;Carla I. M. Bezerra;Rodrigo Pereira dos Santos;Alessandro F. Garcia 0001;Simone Dornelas Costa;Adolfo Gustavo Serra Seca Neto","-","A3"
"Towards User-Centric Guidelines for Chatbot Conversational Design.","2023","Computing Research Repository (CoRR)","CoRR","Journal","Geovana Ramos Sousa Silva;Edna Dias Canedo","-","N/A"
"Investigating the Perceived Impact of Maternity on Software Engineering: a Women's Perspective.","2023","Computing Research Repository (CoRR)","CoRR","Journal","Larissa Soares 0001;Edna Dias Canedo;Claudia Pinto Pereira;Carla I. M. Bezerra;Fabiana Freitas Mendes","-","N/A"
"Creativity and Design Thinking as Facilitators in Requirements Elicitation.","2022","International Journal of Software Engineering and Knowledge Engineering (IJSEKE)","Int. J. Softw. Eng. Knowl. Eng.","Journal","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Geovana Ramos Sousa Silva;Pedro Henrique Teixeira Costa;Rodrigo Pereira de Mesquita;Eloisa Toffano Seidel Masson","0218-1940","B1"
"ICT Governance and Management Macroprocesses of a Brazilian Federal Government Agency.","2022","Information","Inf.","Journal","Edna Dias Canedo;Ana Paula Morais do Vale;Rogério Machado Gravina;Alessandra de Vasconcelos Sales;Bruno J. G. Praciano;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael Timóteo de Sousa Júnior","2078-2489","C"
"Guidelines adopted by agile teams in privacy requirements elicitation after the Brazilian general data protection law (LGPD) implementation.","2022","Requirements Engineering","Requir. Eng.","Journal","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Ian Nery Bandeira;Pedro Henrique Teixeira Costa;Eloisa Toffano Seidel Masson","1432-010X","A2"
"Evaluation of a Proposed Set of Usability Heuristics.","2022","Americas Conference on Information Systems (AMCIS)","AMCIS","Conference","Ruyther Parente da Costa;Edna Dias Canedo","-","A2"
"Requirements Elicitation Techniques and Tools in the Context of Artificial Intelligence.","2022","Brazilian Conference on Intelligent Systems (BRACIS)","BRACIS","Conference","André Filipe de Sousa Silva;Geovana Ramos Sousa Silva;Edna Dias Canedo","-","A4"
"Guide for Artificial Intelligence Ethical Requirements Elicitation - RE4AI Ethical Guide.","2022","Hawaii International Conference on System Sciences (HICSS)","HICSS","Conference","José Antonio Siqueira de Cerqueira;Anayran Pinheiro De Azevedo;Heloise Acco Tives Leão;Edna Dias Canedo","-","A1"
"Requirements Engineering Challenges and Techniques in Building Chatbots.","2022","International Conference on Agents and Artificial Intelligence (ICAART)","ICAART","Conference","Geovana R. S. Silva;Edna Dias Canedo","-","A4"
"The Adoption of Microservices Architecture as a Natural Consequence of Legacy System Migration at Police Intelligence Department.","2022","International Conference on Computational Science and Its Applications (ICCSA)","ICCSA","Conference","Murilo Góes de Almeida;Edna Dias Canedo","-","A3"
"Exploring User-centered Requirements Validation and Verification Techniques in a Social Inclusion Context.","2022","International Conference on Enterprise Information Systems (ICEIS)","ICEIS","Conference","Emille Catarine Rodrigues Cançado;Ian Nery Bandeira;Pedro Henrique Teixeira Costa;José Fortes;Daniel Carvalho Moreira;Luis Henrique Vieira Amaral;Edna Dias Canedo","-","A3"
"Decision Support for Process Maturity Improvement in Model-based Systems Engineering.","2022","International Conference on Software and Systems Process (ICSSP)","ICSSP/ICGSE","Conference","Tiago Amorim 0001;Andreas Vogelsang;Edna Dias Canedo","-","A4"
"Ensuring privacy in the application of the Brazilian general data protection law (LGPD).","2022","ACM Symposium on Applied Computing (SAC)","SAC","Conference","Evandro Thalles Vale de Castro;Geovana R. S. Silva;Edna Dias Canedo","-","A2"
"ICT Practitioners' Perception of Working from Home During the Covid-19 Pandemic: Exploring Gender Differences.","2022","Brazilian Symposium on Software Engineering (SBES)","SBES","Conference","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Geovana R. S. Silva;Eloisa Toffano Seidel Masson","-","A3"
"Uma taxonomia para requisitos de privacidade e sua aplicação no Open Banking Brasil.","2022","Workshop em Engenharia de Requisitos (WER)","WER","Conference","Sâmmara Éllen Renner Ferrão;Edna Dias Canedo","-","N/A"
"Requirements Engineering Processes in the Context of IoT and Requirements Validation Techniques.","2022","Workshop em Engenharia de Requisitos (WER)","WER","Conference","Lucas da Silva Souza;Felipe Brito Ayres;Pedro Henrique Teixeira Costa;Edna Dias Canedo","-","N/A"
"Proceedings of the XXI Brazilian Symposium on Software Quality, SBQS 2022, Curitiba, Brazil, November 7-10, 2022","2022","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Edna Dias Canedo;Davi Viana;Vinicius C. Garcia;Carla I. M. Bezerra;Ismayle de Sousa Santos;Bruno Gadelha;Ivan Machado 0001;Sérgio Soares;Uirá Kulesza;Breno de França;Tayana Conte;José Carlos Maldonado;Sheila S. Reinehr;Andreia Malucelli;Adriano Bessa Albuquerque;Gleison Santos;Monalessa Perini Barcellos;Rodrigo Pereira dos Santos;Crescencio Lima;Danilo Monteiro;Adriana Damian;Larissa Rocha 0001","-","A3"
"People management: modelling the work of an ICT team in a coordination and governance organisation of state-owned enterprises.","2021","International Journal of Business Process Integration and Management (IJBPIM)","Int. J. Bus. Process. Integr. Manag.","Journal","Edna Dias Canedo;Pedro Thiago Rocha de Alcântara;Leomar Camargo de Souza;Luis Henrique Vieira Amaral;Rafael Timóteo de Sousa Júnior;Georges Daniel Amvame Nze","1741-8763","B2"
"Diagnostic of Data Processing by Brazilian Organizations - A Low Compliance Issue.","2021","Information","Inf.","Journal","Sâmmara Éllen Renner Ferrão;Artur Potiguara Carvalho;Edna Dias Canedo;Alana Paula Barbosa Mota;Pedro Henrique Teixeira Costa;Anderson Jefferson Cerqueira","2078-2489","C"
"Tool for Measuring Productivity in Software Development Teams.","2021","Information","Inf.","Journal","Jhemeson Silva Mota;Heloise Acco Tives Leão;Edna Dias Canedo","2078-2489","C"
"A Digital Signature Model Using XAdES Standard as a Rest Service.","2021","Information","Inf.","Journal","Renato Carauta Ribeiro;Murilo Góes de Almeida;Edna Dias Canedo","2078-2489","C"
"Towards to Transfer the Directives of Communicability to Software Projects: Qualitative Studies.","2021","Journal of Software Engineering Research and Development (JSERD)","J. Softw. Eng. Res. Dev.","Journal","Adriana Lopes Damian;Edna Dias Canedo;Clarisse Sieckenius de Souza;Tayana Conte","2195-1721","A4"
"Validation of Architecture Effectiveness for the Continuous Monitoring of File Integrity Stored in the Cloud Using Blockchain and Smart Contracts.","2021","Sensors","Sensors","Journal","Alexandre Pinheiro;Edna Dias Canedo;Robson de Oliveira Albuquerque;Rafael Timóteo de Sousa Júnior","-","N/A"
"General Data Protection Law: Observations and Analysis of the Compliance Level of Organizations.","2021","International Conference on Electronic Government (EGOV)","EGOV-CeDEM-ePart-*","Conference","Matheus Lustosa de Souza Louzeiro;Renato José da Silva Camões;Vanessa Coelho Ribeiro;Edna Dias Canedo;Fábio Lúcio Lopes de Mendonça;Rafael Timóteo de Sousa Jr.","-","B1"
"Challenges of Database Systems Teaching Amidst the Covid-19 Pandemic.","2021","Frontiers in Education Conference (FIE)","FIE","Conference","Edna Dias Canedo;Ian Nery Bandeira;Pedro Henrique Teixeira Costa","-","A3"
"Ethical Perspectives in AI: A Two-folded Exploratory Study From Literature and Active Development Projects.","2021","Hawaii International Conference on System Sciences (HICSS)","HICSS","Conference","José Antonio Siqueira de Cerqueira;Lucas Dos Santos Althoff;Paulo Santos De Almeida;Edna Dias Canedo","-","A1"
"Challenges Regarding the Compliance with the General Data Protection Law by Brazilian Organizations: A Survey.","2021","International Conference on Computational Science and Its Applications (ICCSA)","ICCSA","Conference","Edna Dias Canedo;Vanessa Coelho Ribeiro;Ana Paula de Aguiar Alarcão;Lucas Alexandre Carvalho Chaves;Johann Nicholas Reed;Fábio Lúcio Lopes de Mendonça;Rafael Timóteo de Sousa Júnior","-","A3"
"Proposal of an Implementation Process for the Brazilian General Data Protection Law (LGPD).","2021","International Conference on Enterprise Information Systems (ICEIS)","ICEIS","Conference","Edna Dias Canedo;Anderson Jefferson Cerqueira;Rogério Machado Gravina;Vanessa Coelho Ribeiro;Renato Camões;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa Jr.","-","A3"
"Evaluating and Evolving the Compliance to the Brazilian General Data Protection Law in a Federal Government Agency.","2021","International Conference on Enterprise Information Systems (ICEIS)","ICEIS","Conference","Edna Dias Canedo;Vanessa Coelho Ribeiro;Anderson Jefferson Cerqueira;Rogério Machado Gravina;Renato Camões;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa","-","A3"
"An Applied Risk Identification Approach in the ICT Governance and Management Macroprocesses of a Brazilian Federal Government Agency.","2021","International Conference on Enterprise Information Systems (ICEIS)","ICEIS","Conference","Edna Dias Canedo;Ana Paula Morais do Vale;Rogério Machado Gravina;Rafael Leite Patrão;Leomar Camargo de Souza;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa Jr.","-","A3"
"Agile Teams' Perception in Privacy Requirements Elicitation: LGPD's compliance in Brazil.","2021","IEEE International Requirements Engineering Conference (RE)","RE","Conference","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Anderson Jefferson Cerqueira;Pedro Henrique Teixeira Costa;Eloisa Toffano Seidel Masson","-","A2"
"Breaking one barrier at a time: how women developers cope in a men-dominated industry.","2021","Brazilian Symposium on Software Engineering (SBES)","SBES","Conference","Edna Dias Canedo;Fabiana Freitas Mendes;Anderson Jefferson Cerqueira;Márcio Vinicius Okimoto;Gustavo Pinto 0001;Rodrigo Bonifácio","-","A3"
"Ethical Guidelines and Principles in the Context of Artificial Intelligence.","2021","Brazilian Symposium on Information Systems (SBSI)","SBSI","Conference","José Antonio Siqueira de Cerqueira;Heloise Acco Tives Leão;Edna Dias Canedo","-","B1"
"SBQS '21: XX Brazilian Symposium on Software Quality, Virtual Event, Brazil, November 8 - 11, 2021","2021","Brazilian Symposium on Software Quality (SBQS)","SBQS","Conference","Rodrigo Pereira dos Santos;Sandro Ronaldo Bezerra Oliveira;Ismayle de Sousa Santos;Sabrina Marczak;Davi Viana;Edna Dias Canedo;Adriano Bessa Albuquerque;Marco Paludo;Ana Regina Rocha;Ivan Machado 0001;Uirá Kulesza;Vinícius Garcia;Gleison Santos;Natasha M. Costa Valentim;Monalessa Barcellos;Ana Regina Cavalcanti da Rocha;Monalessa Perini Barcellos;Sheila S. Reinehr;Tayana Conte;Awdren L. Fontão;Crescêncio Lima","-","A3"
"Monitoring File Integrity Using Blockchain and Smart Contracts.","2020","IEEE Access","IEEE Access","Journal","Alexandre Pinheiro;Edna Dias Canedo;Rafael Timóteo de Sousa Júnior;Robson de Oliveira Albuquerque","2169-3536","A3"
"Perceptions of ICT Practitioners Regarding Software Privacy.","2020","Entropy","Entropy","Journal","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Eloisa Toffano Seidel Masson;Pedro Henrique Teixeira Costa;Fernanda Lima","-","N/A"
"Software Requirements Classification Using Machine Learning Algorithms.","2020","Entropy","Entropy","Journal","Edna Dias Canedo;Bruno Cordeiro Mendes","-","N/A"
"Information and Communication Technology (ICT) Governance Processes: A Case Study.","2020","Inf.","Inf.","Journal","Edna Dias Canedo;Ana Paula Morais do Vale;Rafael Leite Patrão;Leomar Camargo de Souza;Rogério Machado Gravina;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa Jr.","-","N/A"
"Design sprint in classroom: exploring new active learning tools for project-based learning approach.","2020","J. Ambient Intell. Humaniz. Comput.","J. Ambient Intell. Humaniz. Comput.","Journal","Vinícius Gomes Ferreira;Edna Dias Canedo","-","N/A"
"Understanding the Impact of Introducing Lambda Expressions in Java Programs.","2020","J. Softw. Eng. Res. Dev.","J. Softw. Eng. Res. Dev.","Journal","Walter Lucas Monteiro de Mendonça;José Fortes;Francisco Vitor Lopes;Diego Marcilio;Rodrigo Bonifácio;Edna Dias Canedo;Fernanda Lima;João Saraiva","-","N/A"
"Using the Design Thinking Empathy Phase as a Facilitator in Privacy Requirements Elicitation.","2020","AMCIS","AMCIS","Conference","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Anderson Jefferson Cerqueira;Pedro Henrique Teixeira Costa;Eloisa Toffano Seidel Masson","-","N/A"
"Performance Evaluation of Software Defined Network Controllers.","2020","CLOSER","CLOSER","Conference","Edna Dias Canedo;Fábio Lúcio Lopes de Mendonça;Georges Daniel Amvame Nze;Bruno J. G. Praciano;Gabriel P. M. Pinheiro;Rafael T. de Sousa Jr.","-","N/A"
"Big Data, Anonymisation and Governance to Personal Data Protection.","2020","DG.O","DG.O","Conference","Artur Potiguara Carvalho;Fernanda Potiguara Carvalho;Edna Dias Canedo;Pedro Henrique Potiguara Carvalho","-","N/A"
"Using MCDA for Selecting Criteria of LGPD Compliant Personal Data Security.","2020","DG.O","DG.O","Conference","Renato Carauta Ribeiro;Edna Dias Canedo","-","N/A"
"Work Practices and Perceptions from Women Core Developers in OSS Communities.","2020","ESEM","ESEM","Conference","Edna Dias Canedo;Rodrigo Bonifácio;Márcio Vinicius Okimoto;Alexander Serebrenik;Gustavo Pinto 0001;Eduardo Monteiro","-","N/A"
"A Design Sprint based model for User Experience concern in project-based learning software development.","2020","FIE","FIE","Conference","Vinícius Gomes Ferreira;Edna Dias Canedo","-","N/A"
"AssociAR: Gamified Process for the Teaching of Children with Autism Through the Association of Images and Words.","2020","FIE","FIE","Conference","Jhemeson Silva Mota;Edna Dias Canedo;Kennedy Santos Torres;Heloise Acco Tives Leão","-","N/A"
"Impact of Calango language in an Introductory Computer Programming Course.","2020","FIE","FIE","Conference","Geovana R. S. Silva;Giovanni Santos;Edna Dias Canedo;Vandor Rissoli;Bruno J. G. Praciano;Guilherme Andrade","-","N/A"
"Usability Heuristics Evaluation in Search Engine.","2020","HCI","HCI","Conference","Ana Carolina Dos Santos Pergentino;Edna Dias Canedo;Fernanda Lima;Fábio Lúcio Lopes de Mendonça","-","N/A"
"Application of Design Thinking for Elicitation Requirements in Mobile Applications.","2020","HICSS","HICSS","Conference","Edna Dias Canedo;Alexandre Vinhadelli Papadópolis;Anderson Jefferson Cerqueira;Aletéia Patrícia Favacho de Araújo","-","N/A"
"Digital Signature in the XAdES Standard as a REST Service.","2020","ICCSA","ICCSA","Conference","Renato Carauta Ribeiro;Edna Dias Canedo","-","N/A"
"Citizen's Perception of Public Services Digitization and Automation.","2020","ICEIS","ICEIS","Conference","Edna Dias Canedo;Heloise Acco Tives Leão;Anderson Jefferson Cerqueira","-","N/A"
"Design Thinking Use in Agile Software Projects: Software Developers' Perception.","2020","ICEIS","ICEIS","Conference","Edna Dias Canedo;Ana Carolina Dos Santos Pergentino;Angélica Toffano Seidel Calazans;Frederico Viana Almeida;Pedro Henrique Teixeira Costa;Fernanda Lima","-","N/A"
"Anonymisation and Compliance to Protection Data: Impacts and Challenges into Big Data.","2020","ICEIS","ICEIS","Conference","Artur Potiguara Carvalho;Edna Dias Canedo;Fernanda Potiguara Carvalho;Pedro Henrique Potiguara Carvalho","-","N/A"
"Anonimisation, Impacts and Challenges into Big Data: A Case Studies.","2020","ICEIS","ICEIS","Conference","Artur Potiguara Carvalho;Edna Dias Canedo;Fernanda Potiguara Carvalho;Pedro Henrique Potiguara Carvalho","-","N/A"
"Front End Application Security: Proposal for a New Approach.","2020","ICEIS","ICEIS","Conference","Renato Carauta Ribeiro;Edna Dias Canedo;Bruno J. G. Praciano;Gabriel P. M. Pinheiro;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa Jr.","-","N/A"
"From Dusk till Dawn: Reflections on the Impact of COVID-19 on the Development Practices of a R&D Project.","2020","SBES","SBES","Conference","Walter Lucas Monteiro de Mendonça;Pedro Henrique Teixeira Costa;Emille Catarine Rodrigues Cançado;Fernanda Lima;Edna Dias Canedo;Rodrigo Bonifácio;Luis Henrique Vieira Amaral","-","N/A"
"Functional Requirements Elicitation in IoT Systems: a follow-up study.","2020","SBQS","SBQS","Conference","Roberto Ávila Paldês;Edna Dias Canedo;Fernando de Albuquerque Guimarães;Angélica Toffano Seidel Calazans","-","N/A"
"Application and Evaluation of the Framework for Gamification of Educational Systems using Behavioral Analysis.","2020","SBSI","SBSI","Conference","Fernanda Pereira Gomes;Parcilene Fernandes de Brito;Fabiano Fagundes;Heloise Acco Tives Leão;Edna Dias Canedo","-","N/A"
"DroidXP: A Benchmark for Supporting the Research on Mining Android Sandboxes.","2020","SCAM","SCAM","Conference","Francisco Handrick da Costa;Ismael Medeiros;Pedro Costa;Thales Menezes;Marcos Vinícius;Rodrigo Bonifácio;Edna Dias Canedo","-","N/A"
"C-3PR: A Bot for Fixing Static Analysis Violations via Pull Requests.","2020","SANER","SANER","Conference","Antonio Carvalho;Welder Pinheiro Luz;Diego Marcilio;Rodrigo Bonifácio;Gustavo Pinto 0001;Edna Dias Canedo","-","N/A"
"Empathy and Criativity in Privacy Requirements Elicitation: Systematic Literature Review.","2020","WER","WER","Conference","Angélica Toffano Seidel Calazans;Anderson Jefferson Cerqueira;Edna Dias Canedo","-","N/A"
"Work Practices and Perceptions from Women Core Developers in OSS Communities.","2020","CoRR","CoRR","Journal","Edna Dias Canedo;Rodrigo Bonifácio;Márcio Vinicius Okimoto;Alexander Serebrenik;Gustavo Pinto 0001;Eduardo Monteiro","-","N/A"
"Set of Usability Heuristics for Quality Assessment of Mobile Applications on Smartphones.","2019","IEEE Access","IEEE Access","Journal","Ruyther Parente da Costa;Edna Dias Canedo;Rafael Timóteo de Sousa Júnior;Robson de Oliveira Albuquerque;Luis Javier García-Villalba","2169-3536","A3"
"Proposal of an Implementation Methodology of ICT Processes.","2019","Inf.","Inf.","Journal","Edna Dias Canedo;Ruyther Parente da Costa;Luis Henrique Vieira Amaral;Moramay Coutinho;Georges Daniel Amvame Nze;Rafael Timóteo de Sousa Júnior","-","N/A"
"Barriers Faced by Women in Software Development Projects.","2019","Inf.","Inf.","Journal","Edna Dias Canedo;Heloise Acco Tives Leão;Madianita Bogo Marioti;Fabiano Fagundes;José Antonio Siqueira de Cerqueira","-","N/A"
"On the Design and Implementation of an IoT based Architecture for Reading Ultra High Frequency Tags.","2019","Inf.","Inf.","Journal","Yago Luiz dos Santos;Edna Dias Canedo","-","N/A"
"Riscos de Engenharia de Requisitos com a Utilização de Metodologias ágeis.","2019","CIbSE","CIbSE","Conference","Angélica Toffano Seidel Calazans;Marcelo Ferreira De Almeida Araujo;Roberto Ávila Paldês;Kiane Mabel Rezende;Fábio De Souza Gonçalves;Fernando de A. Guimarães;Eloisa Toffano Seidel Masson;Emeli Braosi;Edna Dias Canedo","-","N/A"
"How the Academics Qualification Influence the Students Learning Development.","2019","COMPSAC","COMPSAC","Conference","Edna Dias Canedo;Rhandy Rafhael de Carvalho;Heloise Acco Tives Leão;Pedro Henrique Teixeira Costa;Márcio Vinicius Okimoto","-","N/A"
"Definition of Indicators in the Execution of Educational Projects with Design Thinking Using the Systematic Literature Review.","2019","FIE","FIE","Conference","Frederico Viana Almeida;Edna Dias Canedo;Ruyther Parente da Costa","-","N/A"
"Competitive programming: A teaching methodology analysis applied to first-year programming classes.","2019","FIE","FIE","Conference","Ian Nery Bandeira;Thiago Veras Machado;Vitor F. Dullens;Edna Dias Canedo","-","N/A"
"Design Thinking Versus Design Sprint: A Comparative Study.","2019","HCI","HCI","Conference","Carlos Magno Mendonça de Sá Araújo;Ivon Miranda Santos;Edna Dias Canedo;Aletéia Patrícia Favacho de Araújo","-","N/A"
"A Set of Usability Heuristics for Mobile Applications.","2019","HCI","HCI","Conference","Ruyther Parente da Costa;Edna Dias Canedo","-","N/A"
"An Analysis of Measurement and Metrics Tools: A Systematic Literature Review.","2019","HICSS","HICSS","Conference","Edna Dias Canedo;Karine Valença;Giovanni Almeida Santos","-","N/A"
"Educational Data Mining: A Profile Analysis of Brazilian Students.","2019","ICCSA","ICCSA","Conference","Edna Dias Canedo;Heloise Acco Tives Leão;Rhandy Rafhael de Carvalho;Ruyther Parente da Costa;Giovanni Almeida Santos;Márcio Vinicius Okimoto","-","N/A"
"Use of AHP and Promethee for Research Project Portfolio Selection.","2019","ICCSA","ICCSA","Conference","Heloise Acco Tives Leão;Edna Dias Canedo;Pedro Henrique Teixeira Costa;Márcio Vinicius Okimoto;Giovanni Almeida Santos","-","N/A"
"Are static analysis violations really fixed?: a closer look at realistic usage of SonarQube.","2019","ICPC","ICPC","Conference","Diego Marcilio;Rodrigo Bonifácio;Eduardo Monteiro;Edna Dias Canedo;Welder Pinheiro Luz;Gustavo Pinto 0001","-","N/A"
"Using design sprint as a facilitator in active learning for students in the requirements engineering course: an experience report.","2019","SAC","SAC","Conference","Vinícius Gomes Ferreira;Edna Dias Canedo","-","N/A"
"Quality Requirements and the Requirements Quality: The indications from Requirements Smells in a Financial Institution Systems.","2019","SBES","SBES","Conference","Angélica Toffano Seidel Calazans;Roberto Ávila Paldês;Edna Dias Canedo;Eloisa Toffano Seidel Masson;Fernando de Albuquerque Guimarães;Kiane Mabel Fialho Rezende;Fábio De Souza Gonçalves;Ari Melo Mariano","-","N/A"
"Factors Affecting Software Development Productivity: An empirical study.","2019","SBES","SBES","Conference","Edna Dias Canedo;Giovanni Almeida Santos","-","N/A"
"Does the Introduction of Lambda Expressions Improve the Comprehension of Java Programs?","2019","SBES","SBES","Conference","Walter Lucas 0001;Rodrigo Bonifácio;Edna Dias Canedo;Diego Marcilio;Fernanda Lima","-","N/A"
"How Undergraduate Students Perceive the Relevance of Open Source Software Literature.","2019","SBES","SBES","Conference","Michelangelo da R. Machado;Cristiane Naves Cardoso;Edna Dias Canedo","-","N/A"
"A Study on the Design Thinking Approach in Universities.","2019","SBSI","SBSI","Conference","Edna Dias Canedo;Frederico Viana Almeida","-","N/A"
"An Assessment of the Teaching-Learning Methodologies Used in the Introductory Program-ming Courses at a Brazilian University.","2018","Informatics Educ.","Informatics Educ.","Journal","Edna Dias Canedo;Giovanni Almeida Santos;Leticia Lopes Leite","-","N/A"
"Analysis of Conversation Competencies in Strategic Alignment between Business Areas (External Control) and Information Technology Areas in a Control Body.","2018","Inf.","Inf.","Journal","Alberto Leite Câmara;Rejane Maria da Costa Figueiredo;Edna Dias Canedo","-","N/A"
"Best Practices Kits for the ICT Governance Process within the Secretariat of State-Owned Companies of Brazil and Regarding these Public Companies.","2018","Inf.","Inf.","Journal","Edna Dias Canedo;Ruyther Parente da Costa;Rafael Timóteo de Sousa Júnior;Georges Daniel Amvame Nze","-","N/A"
"Analysis of the Risk Management Process on the Development of the Public Sector Information Technology Master Plan.","2018","Inf.","Inf.","Journal","Sérgio Antônio Andrade de Freitas;Edna Dias Canedo;Rodrigo César Santos Felisdório;Heloise Acco Tives Leão","-","N/A"
"Best Practices and Methodologies to Promote the Digitization of Public Services Citizen-Driven: A Systematic Literature Review.","2018","Inf.","Inf.","Journal","Heloise Acco Tives Leão;Edna Dias Canedo","-","N/A"
"A synthesis of common guidelines for regulatory compliance verification in the context of ICT governance audits.","2018","Inf. Polity","Inf. Polity","Journal","Angela Maria Cristina Clara;Edna Dias Canedo;Rafael Timóteo de Sousa Júnior","-","N/A"
"Security Architecture and Protocol for Trust Verifications Regarding the Integrity of Files Stored in Cloud Services.","2018","Sensors","Sensors","Journal","Alexandre Pinheiro;Edna Dias Canedo;Rafael Timóteo de Sousa Júnior;Robson de Oliveira Albuquerque;Luis Javier García-Villalba;Tai-Hoon Kim","-","N/A"
"Methods and Metrics for Estimating and Planning Agile Software Projects.","2018","AMCIS","AMCIS","Conference","Edna Dias Canedo;Ruyther Parente da Costa","-","N/A"
"Ontology Based Data Management - A Study in a Brazilian Federal Agency.","2018","EGOV","EGOV","Conference","Márcia Myuki Takenaka Fujimoto;Edna Dias Canedo","-","N/A"
"Why there is still few women in Engineering? A perspective from female students and professors in an Engineering campus.","2018","FIE","FIE","Conference","Edna Dias Canedo;Giovanni Almeida Santos;Fabiana Freitas Mendes;Elaine Venson;Rejane Maria da Costa Figueiredo","-","N/A"
"Improving Student's Learning and Cooperation Skills Using Coding Dojos (In the Wild!).","2018","FIE","FIE","Conference","Caio Matheus Campos de Oliveira;Edna Dias Canedo;Henrique Medrado de Faria;Luis Henrique Vieira Amaral;Rodrigo Bonifácio","-","N/A"
"The Use of Design Thinking in Agile Software Requirements Survey: A Case Study.","2018","HCI","HCI","Conference","Edna Dias Canedo;Ruyther Parente da Costa","-","N/A"
"Improving Usability Evaluation by Automating a Standardized Usability Questionnaire.","2018","HCI","HCI","Conference","Priscilla Gonçalves da Silva e Souza;Edna Dias Canedo","-","N/A"
"Interaction Design Process Oriented by Metrics.","2018","HCI","HCI","Conference","Jessica Suzuki;Edna Dias Canedo","-","N/A"
"An Investigative Analysis of Quality of Service Metrics on OpenStack.","2018","ICCSA","ICCSA","Conference","Edna Dias Canedo;Ítalo Paiva Batista;Emilie Trindade de Morais;Aletéia Patrícia Favacho de Araújo","-","N/A"
"An Implementation of the OAuth 2.0 for an Enterprise Service Bus.","2018","ICCSA","ICCSA","Conference","Alysson de Sousa Ribeiro;Edna Dias Canedo;Sérgio Antônio Andrade de Freitas","-","N/A"
"People Management in Agile Development.","2018","ICEIS","ICEIS","Conference","Pedro Thiago Rocha de Alcântara;Edna Dias Canedo;Ruyther Parente da Costa","-","N/A"
"Usability Heuristics for Mobile Applications - A Systematic Review.","2018","ICEIS","ICEIS","Conference","Marcos Antonio Durães Dourado;Edna Dias Canedo","-","N/A"
