"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"QualiOSM: An Architecture to Improve Data Completeness on OpenStreetMap.","2021","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Gabriel F. B. de Medeiros;Lívia Castro Degrossi;Maristela Holanda","2166-6261","B3"
"A proposal to minimize the cost of processing big geospatial data in public cloud providers.","2021","Transactions in GIS","Trans. GIS","João Bachiega Jr.;Maristela Holanda;Aletéia P. F. Araújo","1361-1682","A2"
"The Brazilian School Girls' Perspectives on a Computer Science Major.","2020","CLEI electronic journal","CLEI Electron. J.","Maristela Holanda;Roberto Nunes Mourão;Guilherme Novaes Ramos;Aletéia P. F. Araújo;Maria Emília M. T. Walter;Vinicius Borges;George von Borries","0717-5000","C"
"Frontmatter.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda","2166-6261","B3"
"Frontmatter.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda","2166-6261","B3"
"Frontmatter.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda","2166-6261","B3"
"Editorial.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda;Carina Friedrich Dorneles","2166-6261","B3"
"Editorial.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda;Thales Sehn Körting","2166-6261","B3"
"Editorial.","2020","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Angelo Brayner;Maristela Holanda;Elaine Ribeiro de Faria Paiva","2166-6261","B3"
"A fire management intelligent system for the Brazilian cerrado biome based on a deep learning two phase detection method.","2025","Journal on Reliable Intelligent Environments","J. Reliab. Intell. Environ.","Natalia O. Borges;Lívia G. C. Fonseca;Priscila Solís Barreto;Eduardo Alchieri;Marcos Fagundes Caetano;Paulo Angelo A. Resende;Leonardo Brandão;Lucas Vieira","N/A","N/A"
"Age of information optimization in cyber-physical systems with stateful packet management techniques.","2024","Ad Hoc Networks","Ad Hoc Networks","Paulo César Prandel;Priscila Solís Barreto","1570-8705","A2"
"Forest fire monitoring system supported by unmanned aerial vehicles and edge computing: a performance evaluation using petri nets.","2024","Cluster Computing","Clust. Comput.","Arthur Sabino;Luiz Nelson Lima;Carlos Brito 0001;Leonel Feitosa;Marcos F. Caetano;Priscila Solís Barreto;Francisco Airton Silva","1386-7857","A3"
"5G-RCOLAB: A system level simulator for 5G and beyond in rural areas.","2023","Computer Communications","Comput. Commun.","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Marcos F. Caetano;Eduardo Alchieri;Daniel Costa Araújo 0001;Francisco Rodrigo P. Cavalcanti;Diego Aguiar Sousa","0140-3664","A2"
"A Risk Perception Indicator to Evaluate the Migration of Government Legacy Systems to the Cloud.","2021","International Journal of Information Systems in the Service Sector (IJISSS)","Int. J. Inf. Syst. Serv. Sect.","Breno G. S. Costa;Priscila Solís Barreto","N/A","N/A"
"Optimized execution of morphological reconstruction in large medical images on embedded devices.","2021","Journal of Real-Time Image Processing","J. Real Time Image Process.","Felipe R. G. Cabral;Oscar Anacona-Mosquera;Renato Coral Sampaio;George Teodoro;Carlos H. Llanos;Ricardo P. Jacobi","1861-8200","A4"
"Using Design Thinking to break social barriers: An experience report with former inmates.","2024","Journal of Software: Evolution and Process","J. Softw. Evol. Process.","Edna Dias Canedo;Emille Catarine Rodrigues Cançado;Alana Paula Barbosa Mota;Ian Nery Bandeira;Pedro Henrique Teixeira Costa;Fernanda Lima;Luis Henrique Vieira Amaral;Rodrigo Bonifácio","2047-7481","A4"
"Embracing modern C++ features: An empirical assessment on the KDE community.","2024","Journal of Software: Evolution and Process","J. Softw. Evol. Process.","Walter Lucas 0001;Fausto Carvalho;Rafael Campos Nunes;Rodrigo Bonifácio;João Saraiva;Paola R. G. Accioly","2047-7481","A4"
"The Impact Of Bug Localization Based on Crash Report Mining: A Developers' Perspective.","2024","Computing Research Repository (CoRR)","CoRR","Marcos Medeiros;Uirá Kulesza;Roberta Coelho;Rodrigo Bonifácio;Christoph Treude;Eiji Adachi Barbosa","N/A","N/A"
"DogeFuzz: A Simple Yet Efficient Grey-box Fuzzer for Ethereum Smart Contracts.","2024","Computing Research Repository (CoRR)","CoRR","Ismael Medeiros;Fausto Carvalho;Alexandre Ferreira;Rodrigo Bonifácio;Fabiano Cavalcanti Fernandes","N/A","N/A"
"An Investigation of confusing code patterns in JavaScript.","2023","Journal of Systems and Software (JSS)","J. Syst. Softw.","Adriano Torres;Caio Oliveira;Márcio Vinicius Okimoto;Diego Marcilio;Pedro Queiroga;Fernando Castor;Rodrigo Bonifácio;Edna Dias Canedo;Márcio Ribeiro 0001;Eduardo Monteiro","0164-1212","A2"
"Privacy requirements elicitation: a systematic literature review and perception analysis of IT practitioners.","2023","Requirements Engineering","Requir. Eng.","Edna Dias Canedo;Ian Nery Bandeira;Angélica Toffano Seidel Calazans;Pedro Henrique Teixeira Costa;Emille Catarine Rodrigues Cançado;Rodrigo Bonifácio","N/A","N/A"
"Runtime Verification of Crypto APIs: An Empirical Study.","2023","IEEE Transactions on Software Engineering (TSE)","IEEE Trans. Software Eng.","Adriano Torres;Pedro Henrique Teixeira Costa;Luis Henrique Vieira Amaral;Jonata Pastro;Rodrigo Bonifácio;Marcelo d'Amorim;Owolabi Legunsen;Eric Bodden;Edna Dias Canedo","0098-5589","A1"
"Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells.","2023","Computing Research Repository (CoRR)","CoRR","Elvys Soares;Manoel Aranda III;Naelson Oliveira;Márcio Ribeiro 0001;Rohit Gheyi;Emerson Souza;Ivan Machado 0001;André L. M. Santos;Baldoino Fonseca;Rodrigo Bonifácio","N/A","N/A"
"Detecting Semantic Conflicts using Static Analysis.","2023","Computing Research Repository (CoRR)","CoRR","Galileu Santos de Jesus;Paulo Borba;Rodrigo Bonifácio;Matheus Barbosa de Oliveira","N/A","N/A"
"Exploring the use of static and dynamic analysis to improve the performance of the mining sandbox approach for android malware identification.","2022","Journal of Systems and Software (JSS)","J. Syst. Softw.","Francisco Handrick da Costa;Ismael Medeiros;Thales Menezes;João Victor da Silva;Ingrid Lorraine da Silva;Rodrigo Bonifácio;Krishna Narasimhan;Márcio Ribeiro 0001","0164-1212","A2"
"Dealing with Variability in API Misuse Specification.","2021","Computing Research Repository (CoRR)","CoRR","Rodrigo Bonifácio;Stefan Krüger;Krishna Narasimhan;Eric Bodden;Mira Mezini","N/A","N/A"
"Exploring the Use of Static and Dynamic Analysis to Improve the Performance of the Mining Sandbox Approach for Android Malware Identification.","2021","Computing Research Repository (CoRR)","CoRR","Francisco Handrick da Costa;Ismael Medeiros;Thales Menezes;João Victor da Silva;Ingrid Lorraine da Silva;Rodrigo Bonifácio;Krishna Narasimhan;Márcio Ribeiro 0001","N/A","N/A"
"Understanding the Impact of Introducing Lambda Expressions in Java Programs.","2020","Journal of Software Engineering Research and Development (JSERD)","J. Softw. Eng. Res. Dev.","Walter Lucas Monteiro de Mendonça;José Fortes;Francisco Vitor Lopes;Diego Marcilio;Rodrigo Bonifácio;Edna Dias Canedo;Fernanda Lima;João Saraiva","2195-1721","B3"
"SpongeBugs: Automatically generating fix suggestions in response to static code analysis warnings.","2020","Journal of Systems and Software (JSS)","J. Syst. Softw.","Diego Marcilio;Carlo A. Furia;Rodrigo Bonifácio;Gustavo Pinto 0001","0164-1212","A2"
"Work Practices and Perceptions from Women Core Developers in OSS Communities.","2020","Computing Research Repository (CoRR)","CoRR","Edna Dias Canedo;Rodrigo Bonifácio;Márcio Vinicius Okimoto;Alexander Serebrenik;Gustavo Pinto 0001;Eduardo Monteiro","N/A","N/A"
"Sequence-aware multimodal page classification of Brazilian legal documents.","2023","International Journal on Document Analysis and Recognition (IJDAR)","Int. J. Document Anal. Recognit.","Pedro Henrique Luz de Araujo;Ana Paula G. S. de Almeida;Fabricio Ataides Braz;Nilton Correia da Silva;Flavio de Barros Vidal;Teófilo Emídio de Campos","1433-2833","A3"
"Sequence-aware multimodal page classification of Brazilian legal documents.","2022","Computing Research Repository (CoRR)","CoRR","Pedro Henrique Luz de Araujo;Ana Paula G. S. de Almeida;Fabricio Ataides Braz;Nilton Correia da Silva;Flavio de Barros Vidal;Teófilo Emídio de Campos","N/A","N/A"
"A coarsening method for bipartite networks via weight-constrained label propagation.","2020","Knowledge-Based Systems","Knowl. Based Syst.","Alan Valejo;Thiago de Paulo Faleiros;Maria Cristina Ferreira de Oliveira;Alneu de Andrade Lopes","0950-7051","A1"
"Coarsening Algorithm Based on Multi-Label Propagation for Knowledge Discovery in Bipartite Networks.","2024","IEEE Transactions on Network Science and Engineering","IEEE Trans. Netw. Sci. Eng.","Alan Demétrius Baria Valejo;Paulo Eduardo Althoff;Thiago de Paulo Faleiros;Geraldo Pereira Rocha Filho;Yu-tao Zhu;Jianglong Yan;Weiguang Liu;Liang Zhao 0001","2327-4697","A2"
"Coarsening effects on k-partite network classification.","2023","Applied Network Science","Appl. Netw. Sci.","Paulo Eduardo Althoff;Alan Demétrius Baria Valejo;Thiago de Paulo Faleiros","2364-8228","B4"
"Unsupervised learning of textual pattern based on Propagation in Bipartite Graph.","2020","Intelligent Data Analysis","Intell. Data Anal.","Thiago de Paulo Faleiros;Alan Valejo;Alneu de Andrade Lopes","1088-467X","B2"
"DODFMiner: An automated tool for Named Entity Recognition from Official Gazettes.","2024","Neurocomputing","Neurocomputing","Gabriel M. C. Guimarães;Felipe X. B. da Silva;Andrei L. Queiroz;Ricardo M. Marcacini;Thiago de Paulo Faleiros;Vinicius R. P. Borges;Luís P. F. Garcia","N/A","N/A"
"Providing command and control agility: A software product line approach.","2023","Expert Systems with Applications","Expert Syst. Appl.","Junier Caminha Amorim;Eduardo Lemos Rocha;Luigi Minardi;Vander Alves;Edison Pignaton de Freitas;Thiago M. Castro;Moussa Amrani;James Ortiz 0001;Pierre-Yves Schobbens;Gilles Perrouin","0957-4174","A1"
"Evaluating refactorings for disciplining #ifdef annotations: An eye tracking study with novices.","2021","Empirical Software Engineering","Empir. Softw. Eng.","José Aldo Silva da Costa;Rohit Gheyi;Márcio Ribeiro 0001;Sven Apel;Vander Alves;Baldoino Fonseca;Flávio Medeiros;Alessandro Garcia 0001","1382-3256","A1"
"Identifying method-level mutation subsumption relations using Z3.","2021","Information &#38; Software Technology","Inf. Softw. Technol.","Rohit Gheyi;Márcio Ribeiro 0001;Beatriz Souza;Marcio Augusto Guimarães;Leo Fernandes;Marcelo d'Amorim;Vander Alves;Leopoldo Teixeira;Baldoino Fonseca","0950-5849","A1"
"A Formal Framework of Software Product Line Analyses.","2021","ACM Transactions on Software Engineering and Methodology (TOSEM)","ACM Trans. Softw. Eng. Methodol.","Thiago M. Castro;Leopoldo Teixeira;Vander Alves;Sven Apel;Maxime Cordy;Rohit Gheyi","1049-331X","A2"
"Assessing a swarm-GAP based solution for the task allocation problem in dynamic scenarios.","2020","Expert Systems with Applications","Expert Syst. Appl.","Junier Caminha Amorim;Vander Alves;Edison Pignaton de Freitas","0957-4174","A1"
"ExpRunA : a domain-specific approach for technology-oriented experiments.","2020","Software and Systems Modeling","Softw. Syst. Model.","Eneias Silva;Alessandro Ferreira Leite;Vander Alves;Sven Apel","1619-1366","A2"
"6WR: A Hardware Friendly 3D-HEVC DMM-1 Algorithm and its Energy-Aware and High-Throughput Design.","2020","IEEE Transactions on Circuits and Systems","IEEE Trans. Circuits Syst. II Express Briefs","Murilo R. Perleberg;Vinicius Ruela Pereira Borges;Vladimir Afonso;Daniel Palomino 0001;Luciano Agostini;Marcelo Schiavon Porto","1932-4545","A1"
