"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"Embedding Jamming Attacks into Physical Layer Models in Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Mounir Bensalem;Ítalo Brasileiro;André C. Drummond;Admela Jukan","N/A","N/A"
"Dynamic Multi-Modulation Allocation Scheme for Elastic Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Lucas Rodrigues Costa;André C. Drummond","N/A","N/A"
"Jamming-Aware Control Plane in Elastic Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Ítalo Brasileiro;Mounir Bensalem;André C. Drummond;Admela Jukan","N/A","N/A"
"Learning-Based Image Compression With Parameter-Adaptive Rate-Constrained Loss.","2024","IEEE Signal Processing Letters","IEEE Signal Process. Lett.","Nilson Donizete Guerin Júnior;Renam Castro da Silva;Bruno Macchiavello","1070-9908","A1"
"Rate-constrained learning-based image compression.","2022","Signal Processing: Image Communication","Signal Process. Image Commun.","Nilson Donizete Guerin Júnior;Renam Castro da Silva;Matheus C. de Oliveira;Henrique Costa Jung;Luiz Gustavo R. Martins;Eduardo Peixoto;Bruno Macchiavello;Edson M. Hung;Vanessa Testoni;Pedro Garcia Freitas","0923-5965","A2"
"Improved two-dimensional dynamic S-EMG Signal compression with robust automatic segmentation.","2021","Biomedical Signal Processing and Control","Biomed. Signal Process. Control.","Francisco Assis de Oliveira Nascimento;Marcel H. Trabuco;Bruno Macchiavello;Davi B. Gusmão;Marcus V. C. Costa","1746-8094","A1"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Method for evaluating plan recovery strategies in dynamic multi-agent environments.","2023","Journal of Experimental and Theoretical Artificial Intelligence (JETAI)","J. Exp. Theor. Artif. Intell.","Leonardo Henrique Moreira;Célia Ghedini Ralha","N/A","N/A"
"AC2CD: An actor-critic architecture for community detection in dynamic social networks.","2023","Knowledge-Based Systems","Knowl. Based Syst.","Aurélio Ribeiro Costa;Célia Ghedini Ralha","0950-7051","A1"
"MASE-EGTI: An agent-based simulator for environmental land change.","2022","Environmental Modelling and Software","Environ. Model. Softw.","Cássio Giorgio Couto Coelho;Célia Ghedini Ralha","1364-8152","A1"
"Scientific Collaboration Network Views: A Brazilian Computer Science Graduate Programs Case.","2022","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Aurelio Ribeiro Costa;Vanessa Tavares Nunes;Célia Ghedini Ralha","2166-6261","B3"
"An efficient lightweight coordination model to multi-agent planning.","2022","Knowledge and Information Systems (KAIS)","Knowl. Inf. Syst.","Leonardo Henrique Moreira;Célia Ghedini Ralha","0219-1377","A2"
"Development process of multiagent system for glycemic control of intensive care unit patients.","2021","Artificial Intelligence Research","Artif. Intell. Res.","Tiago Henrique Faccio Segato;Célia Ghedini Ralha;Sérgio Eduardo Soares Fernandes","1927-6974","C"
"Computational resource and cost prediction service for scientific workflows in federated clouds.","2021","Future Generation Computer Systems","Future Gener. Comput. Syst.","Michel J. F. Rosa;Célia Ghedini Ralha;Maristela Holanda;Aletéia P. F. Araújo","0167-739X","A1"
